author,name,year
Лев Толстой,Война и мир,1869
Джордж Оруэлл,1984,1949
Джейм Джойс,Улисс,1922
Владимир Набоков,Лолита,1955
Уильям Фолкнер,Шум и ярость,1929
Ральф Эллисон,Невидимка,1952
Вирджиния Вульф,К маяку,1927
Гомер,Иллиада и Одиссея,VIII век до н. э.
Джейн Остин,Гордость и предубеждение,1813
Данте Алигьери,Божественная комедия,1321
Джоффри Чосер,Кентерберийские рассказы,XV век
Джонатан Свифт,Путешествия Гулливера,1726
Джордж Элиот,Миддлмарч,1874
Чинуа Ачебе,Распад,1958
Джером Д. Сэлинджер,Над пропастью во ржи,1951
Маргарет Митчелл,Унесенные ветром,1936
Габриэль Гарсия Маркес,Сто лет одиночества,1967
Фрэнсис Скотт Фитцджеральд,Великий Гэтсби,1925
Джозеф Хеллер,Уловка-22,1961
Тони Моррисон,Возлюбленная,1987
Джон Стейнбек,Грозди гнева,1939
Салман Рушди,Дети полуночи,1981
Олдос Хаксли,Дивный новый мир,1932
Вирджиния Вульф,Миссис Дэллоуэй,1925
Ричард Райт,Сын Америки,1940
Алексис де Токвиль,Демократия в Америке,1835
Чарльз Дарвин,Происхождение видов,1859
Геродот,История,440 год до н. э.
Жан-Жак Руссо,Общественный договор,1762
Карл Маркс,Капитал,1867
Никколо Макиавелли,Государь,1532
Блаженный Августин,Исповедь,IV век
Томас Гоббс,Левиафан,1651
Фукидид,История Пелопонесской войны,431 год до н. э.
Джон Толкиен,Властелин колец,1954
Алан Александр Милн,Винни-Пух,1926
Клайв Льюис,"Лев, колдунья и платяной шкаф",1950
Эдуард Форстер,Поездка в Индию,1924
Джон Керуак,В дороге,1957
Харпер Ли,Убить пересмешника,1960
Нет данных,Библия,Нет данных
Энтони Берджесс,Заводной апельсин,1962
Уильям Фолкнер,Свет в августе,1932
Уильям Дю Бойс,Души чёрного народа,1903
Джин Рис,Безбрежное Саргассово море,1966
Гюстав Флобер,Мадам Бовари,1857
Джон Милтон,Потерянный рай,1667
Лев Толстой,Анна Каренина,1877
Уильям Шекспир,Гамлет,1603
Уильям Шекспир,Король Лир,1608
Уильям Шекспир,Отелло,1622
Уильям Шекспир,Сонеты,1609
Уолт Уитмен,Листья травы,1855
Марк Твен,Приключения Гекльберри Финна,1885
Редьярд Киплинг,Ким,1901
Мэри Шелли,Франкенштейн,1818
Тони Моррисон,Песнь Соломона,1977
Кен Кизи,Пролетая над гнездом кукушки,1962
Эрнест Хемингуэй,По ком звонит колокол,1940
Курт Воннегут,Бойня номер пять,1969
Джордж Оруэлл,Скотный двор,1945
Уильям Голдинг,Повелитель мух,1954
Труман Капоте,Хладнокровное убийство,1965
Дорис Лессинг,Золотая тетрадь,1962
Марсель Пруст,В поисках потерянного времени,1913
Реймонд Чандлер,Большой сон,1939
Уильям Фолкнер,Когда я умирала,1930
Эрнест Хемингуэй,Фиеста,1926
Роберт Грейвз,"Я, Клавдий",1934
Карсон Маккаллерс,Сердце — одинокий охотник,1940
Дэвид Лоуренс,Сыновья и любовники,1913
Роберт Пенн Уоррен,И вся королевская рать,1946
Джеймс Болдуин,"Иди, вещай с горы",1953
Эдвин Уайт,Паутина Шарлотты,1952
Джозеф Конрад,Сердце тьмы,1902
Эли Визель,Ночь,1958
Джон Апдайк,"Кролик, беги",1960
Эдит Уортон,Эпоха невинности,1920
Филип Рот,Случай портного,1969
Теодор Драйзер,Американская трагедия,1925
Натаниэль Уэст,День саранчи,1939
Генри Миллер,Тропик рака,1934
Дэшиел Хэммет,Мальтийский сокол,1930
Филип Пулман,Тёмные начала,1995
Уилла Кейтер,Смерть пришла архиепископу,1927
Зигмунд Фрейд,Толкования снов,1900
Генри Адамс,Воспитание Генри Адамса,1918
Мао Цзедун,Цитатник,1964
Уильям Джемс,Многообразие религиозного опыта,1902
Ивлин Во,Возвращение в Брайдсхед,1945
Рейчел Карсон,Безмолвная весна,1962
Джон Кейнс,"Общая теория занятости, процента и денег",1936
Джозеф Конрад,Лорд Джим,1900
Роберт Грейвз,Простимся со всем этим,1929
Джон Кеннет Гэлбрейт,Общество изобилия,1958
Кеннет Грэм,Ветер в ивах,1908
Алекс Хейли и Малколм Икс,Автобиография Малколма Икс,1965
Литтон Стречи,Выдающиеся викторианцы,1918
Элис Уокер,Цвет пурпурный,1982
Уинстон Черчилль,Вторая мировая война,1948
